
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                 Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

158_d3_31907_d3_1  9.095E-16  1.263E-16          0          0     7.513  8.261E17
157_d3_10151_d3_1      7.492      1.041          0          0         0         0
157_d3_10164_d3_1      7.492      1.041          0          0         0         0
157_d3_10165_d3_1          0          0          0          0     7.492         0
157_d3_10166_d3_1  5.084E-16  7.062E-17  5.084E-16        100     7.492  1.474E18
157_d3_10042_d3_1  3.216E-16  4.467E-17  2.274E-16      70.71     7.401  2.302E18
157_d3_10433_d3_1      7.359      1.022          0          0         0         0
157_d3_13454_d3_1      7.359      1.022          0          0         0         0
157_d3_13455_d3_1      7.313      1.016          0          0         0         0
157_d3_10040_d3_1          0          0          0          0     7.311         0
157_d3_10041_d3_1      7.311      1.016          0          0         0         0
157_d3_10206_d3_1  2.274E-16  3.158E-17          0          0     7.309  3.215E18
157_d3_29283_d3_1  2.274E-16  3.158E-17          0          0     7.311  3.215E18
157_d3_10205_d3_1          0          0          0          0     7.307         0
157_d3_10203_d3_1      7.312      1.016          0          0         0         0
157_d3_10204_d3_1          0          0          0          0     7.312         0
157_d3_26380_d3_1      7.312      1.016          0          0         0         0
157_d3_26378_d3_1      7.312      1.016          0          0         0         0
157_d3_26379_d3_1          0          0          0          0     7.312         0
157_d3_26381_d3_1          0          0          0          0     7.312         0
157_d3_10194_d3_1      7.359      1.022          0          0         0         0
154_d3_104             7.359      1.022          0          0         0         0
157_d3_10038_d3_1  2.274E-16  3.158E-17          0          0     7.328  3.223E18
157_d3_10039_d3_2      7.316      1.016          0          0         0         0
157_d3_92857_d3_2      7.316      1.016          0          0         0         0
157_d3_10039_d3_3      7.307      1.015          0          0         0         0
157_d3_10037_d3_1      7.281      1.011          0          0         0         0
157_d3_10196_d3_1      7.222      1.003          0          0         0         0
157_d3_10197_d3_1  2.274E-16  3.158E-17  1.137E-16         50     7.222  3.176E18
157_d3_10198_d3_1      7.219      1.003          0          0         0         0
157_d3_10199_d3_1          0          0          0          0     7.219         0
157_d3_10200_d3_1      7.215      1.002          0          0         0         0
157_d3_10030_d3_1      7.203      1.001          0          0         0         0
157_d3_10031_d3_1      7.202          1          0          0         0         0
157_d3_10202_d3_1          0          0          0          0     7.202         0
157_d3_10028_d3_2      7.201          1          0          0         0         0
157_d3_69570_d3_3  2.274E-16  3.158E-17  1.137E-16         50     7.201  3.167E18
157_d3_10028_d3_3      7.199          1          0          0         0         0
157_d3_10029_d3_1      7.198     0.9999          0          0         0         0
157_d3_10027_d3_1  2.274E-16  3.158E-17          0          0     7.198  3.166E18
157_d3_10026_d3_1  2.274E-16  3.158E-17          0          0     7.198  3.166E18
157_d3_40407_d3_1      7.198     0.9998          0          0         0         0
157_d3_10201_d3_1          0          0          0          0     7.215         0
157_d3_10411_d3_1      7.281      1.011          0          0         0         0
154_d3_480             7.281      1.011          0          0         0         0
157_d3_10412_d3_1  5.084E-16  7.062E-17  9.166E-16      180.3      7.28  1.432E18
157_d3_10036_d3_1      7.279      1.011          0          0         0         0
157_d3_10032_d3_1  4.547E-16  6.317E-17  4.687E-16      103.1     7.278    1.6E18
157_d3_11919_d3_1      7.278      1.011          0          0         0         0
157_d3_11918_d3_1  2.274E-16  3.158E-17  1.137E-16         50     7.278  3.201E18
157_d3_11920_d3_1  2.274E-16  3.158E-17  1.137E-16         50     7.278  3.201E18
157_d3_10413_d3_1      7.279      1.011          0          0         0         0
154_d3_481             7.279      1.011          0          0         0         0
157_d3_10414_d3_1      7.279      1.011          0          0         0         0
157_d3_10035_d3_1      7.279      1.011          0          0         0         0
157_d3_10033_d3_1  2.274E-16  3.158E-17          0          0     7.279  3.201E18
157_d3_10034_d3_1      7.279      1.011          0          0         0         0
159_d3_11970_d3_1      7.279      1.011          0          0         0         0
157_d3_10195_d3_1          0          0  1.137E-16          0     7.279         0
158_d3_25341_d3_1      7.346       1.02     0.1741       2.37   0.09084     1.237
158_d3_25337_d3_1      7.346       1.02     0.1741       2.37   0.09084     1.237
158_d3_25339_d3_1      7.346       1.02     0.1741       2.37   0.09084     1.237
158_d3_25336_d3_1      7.346       1.02     0.1741       2.37   0.09084     1.237
157_d3_32556_d3_1      7.421      1.031          0          0         0         0
157_d3_32557_d3_1       7.42      1.031          0          0         0         0
157_d3_9940_d3_1        7.42      1.031          0          0         0         0
157_d3_36220_d3_1      7.317      1.016          0          0         0         0
157_d3_9937_d3_1       7.317      1.016          0          0         0         0
157_d3_9935_d3_1       7.317      1.016          0          0         0         0
